Date,Local Start Time,Away Team,Home Team,Venue
2025-04-17,07:05 PM CDT,Los Angeles Angels,Texas Rangers,Globe Life Field
2025-04-18,01:20 PM CDT,Arizona Diamondbacks,Chicago Cubs,Wrigley Field
2025-04-18,06:40 PM EDT,Kansas City Royals,Detroit Tigers,Comerica Park
2025-04-18,06:40 PM EDT,Cleveland Guardians,Pittsburgh Pirates,PNC Park
2025-04-18,06:45 PM EDT,Miami Marlins,Philadelphia Phillies,Citizens Bank Park
2025-04-18,07:05 PM EDT,Cincinnati Reds,Baltimore Orioles,Oriole Park at Camden Yards
2025-04-18,07:05 PM EDT,New York Yankees,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-18,07:07 PM EDT,Seattle Mariners,Toronto Blue Jays,Rogers Centre
2025-04-18,07:10 PM EDT,St. Louis Cardinals,New York Mets,Citi Field
2025-04-18,07:10 PM EDT,Chicago White Sox,Boston Red Sox,Fenway Park
2025-04-18,07:15 PM EDT,Minnesota Twins,Atlanta Braves,Truist Park
2025-04-18,07:05 PM CDT,Los Angeles Dodgers,Texas Rangers,Globe Life Field
2025-04-18,07:10 PM CDT,San Diego Padres,Houston Astros,Daikin Park
2025-04-18,07:10 PM CDT,Athletics,Milwaukee Brewers,American Family Field
2025-04-18,06:38 PM PDT,San Francisco Giants,Los Angeles Angels,Angel Stadium
2025-04-18,06:40 PM MDT,Washington Nationals,Colorado Rockies,Coors Field
2025-04-19,01:05 PM EDT,Miami Marlins,Philadelphia Phillies,Citizens Bank Park
2025-04-19,01:10 PM EDT,Kansas City Royals,Detroit Tigers,Comerica Park
2025-04-19,01:20 PM CDT,Arizona Diamondbacks,Chicago Cubs,Wrigley Field
2025-04-19,03:07 PM EDT,Seattle Mariners,Toronto Blue Jays,Rogers Centre
2025-04-19,04:05 PM EDT,Cincinnati Reds,Baltimore Orioles,Oriole Park at Camden Yards
2025-04-19,04:05 PM EDT,Cleveland Guardians,Pittsburgh Pirates,PNC Park
2025-04-19,04:05 PM EDT,St. Louis Cardinals,New York Mets,Citi Field
2025-04-19,03:05 PM CDT,Los Angeles Dodgers,Texas Rangers,Globe Life Field
2025-04-19,02:10 PM MDT,Washington Nationals,Colorado Rockies,Coors Field
2025-04-19,04:10 PM EDT,Chicago White Sox,Boston Red Sox,Fenway Park
2025-04-19,04:10 PM EDT,New York Yankees,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-19,06:10 PM CDT,San Diego Padres,Houston Astros,Daikin Park
2025-04-19,06:10 PM CDT,Athletics,Milwaukee Brewers,American Family Field
2025-04-19,07:15 PM EDT,Minnesota Twins,Atlanta Braves,Truist Park
2025-04-19,06:38 PM PDT,San Francisco Giants,Los Angeles Angels,Angel Stadium
